,Name,Gender,Matches,Wins,Win Rate %,Age
21,CHENG Pusyuan (TPE),Female,315,238,75.56,18
22,KONECNY Tomas (CZE),Male,408,237,58.09,39
23,SZITA Marton (HUN),Male,402,237,58.96,29
24,KOSOLOSKY Olav (BEL),Male,395,237,60.00,23
0,LUNDQVIST Jens (SWE),Male,412,236,57.28,45
1,SCHLAGER Werner (AUT),Male,362,236,65.19,52
2,LANG Kristin (GER),Female,406,236,58.13,40
3,YOSHIDA Masaki (JPN),Male,332,236,71.08,30
4,FANG Sih-Han (TPE),Female,331,236,71.30,25
5,SLAZAK Julia (POL),Female,403,235,58.31,25
6,MORI Sakura (JPN),Female,376,235,62.50,28
7,KLEE Sophia (GER),Female,371,235,63.34,21
8,BURGOS Nicolas (CHI),Male,351,235,66.95,23
9,PLATONOV Pavel (AIN),Male,451,234,51.88,41
10,JOKIC Tijana (SRB),Female,376,234,62.23,24
11,XU Yingbin (CHN),Male,294,234,79.59,24
12,FASO Danilo (ITA),Male,308,234,75.97,14
13,ENRIQUEZ Mabelyn (GUA),Female,398,233,58.54,29
14,OYEBODE John (ITA),Male,413,233,56.42,23
15,CHIEN Tung-Chuan (TPE),Female,347,233,67.15,23
16,MORET Rachel (SUI),Female,463,232,50.11,35
17,SHAN Xiaona (GER),Female,361,232,64.27,42
18,LIN Chia-Hsuan (TPE),Female,365,232,63.56,27
19,LEE Zion (KOR),Female,394,232,58.88,28
20,LOEUILLETTE Stephanie (FRA),Female,450,231,51.33,32
21,HUANG Hsin (TPE),Female,392,231,58.93,29
22,PUPPO Andrea (ITA),Male,401,231,57.61,22
23,AKULA Sreeja (IND),Female,387,231,59.69,26
24,ANTHONY Amalraj (IND),Male,400,230,57.50,39
0,DOVAL Ilka (NOR),Female,458,230,50.22,26
1,FEHER Orsolya (HUN),Female,421,230,54.63,25
2,LI Hsin-Yang (TPE),Male,343,230,67.06,25
3,CHEN Yuanyu (CHN),Male,286,230,80.42,19
4,MAK Tze Wing (HKG),Female,375,229,61.07,26
5,BOROS Tamara (CRO),Female,378,228,60.32,47
6,GRUNDISCH Carole (FRA),Female,415,228,54.94,38
7,SARAGOVI Pablo (ARG),Male,355,228,64.23,30
8,NOVOTA Samuel (SVK),Male,407,228,56.02,33
9,IMRE Leila (HUN),Female,437,228,52.17,28
10,FRANCISCO Jose Pedro (POR),Male,378,228,60.32,24
11,KARAKASEVIC Aleksandar (SRB),Male,402,227,56.47,49
12,LUO Anqi (CAN),Female,383,227,59.27,28
13,WEBER Lionel (SUI),Male,431,227,52.67,28
14,BALTUSHITE Marharyta (AIN),Female,389,227,58.35,24
15,ZENG Jian (SGP),Female,367,227,61.85,28
16,KIM Minseok (KOR),Male,344,226,65.70,33
17,LUSIN Aleksandr (EST),Male,334,226,67.66,27
18,PINTO Daniele (ITA),Male,434,226,52.07,26
19,URSU Vladislav (MDA),Male,371,226,60.92,24
20,LUM Nicholas (AUS),Male,356,226,63.48,19
21,MATIUNINA Veronika (UKR),Female,328,226,68.90,18
22,ZAULI Isaac (BRA),Male,323,225,69.66,27
23,POH Ethan (SGP),Male,434,225,51.84,26
24,VIVARELLI Debora (ITA),Female,507,224,44.18,32
0,WU Chih-Chi (TPE),Male,389,223,57.33,38
1,ELDAWLATLY Nadeen (EGY),Female,373,223,59.79,31
2,YANG Xiaoxin (MON),Female,311,223,71.70,37
3,SHCHERBATYKH Valeria (AIN),Female,361,223,61.77,26
4,KUMAR Nikhil (USA),Male,350,223,63.71,22
5,CHO Eonrae (KOR),Male,353,222,62.89,38
6,ERDELJI Anamaria (SRB),Female,356,222,62.36,39
7,SHAO Jieni (POR),Female,377,222,58.89,31
8,KISEL Darya (AIN),Female,365,222,60.82,22
9,YEH Yi-Tian (TPE),Female,300,222,74.00,17
10,RIOS Daniely (PUR),Female,423,221,52.25,28
11,SHAMRUK Gleb (AIN),Male,520,221,42.50,29
12,HUANG Yu-Jie (TPE),Female,328,221,67.38,21
13,CHOI Nahyun (KOR),Female,334,221,66.17,17
14,CRISAN Adrian (ROU),Male,366,220,60.11,44
15,KOMWONG Nanthana (THA),Female,381,220,57.74,44
16,SAMBE Kohei (JPN),Male,326,220,67.48,27
17,PAPADIMITRIOU Malamatenia (GRE),Female,489,220,44.99,20
18,PALUSEK Samuel (SVK),Male,372,220,59.14,18
19,MACHADO Carlos (ESP),Male,372,219,58.87,44
20,TREGLER Tomas (CZE),Male,347,219,63.11,34
21,ROSSIKHINA Anna (AIN),Female,358,219,61.17,30
22,CHEN Ting-Ting (TPE),Female,334,219,65.57,24
23,TEODORO Guilherme (BRA),Male,334,219,65.57,23
24,LUU Finn (AUS),Male,395,219,55.44,20
0,BRHEL Stepan (CZE),Male,381,219,57.48,18
1,MORITA Ayane (JPN),Female,312,218,69.87,27
2,HIPPLER Tobias (GER),Male,362,218,60.22,25
3,HASHIMOTO Honoka (JPN),Female,304,218,71.71,26
4,SOLJA Amelie (AUT),Female,411,217,52.80,34
5,ALKHADRAWI Ali (KSA),Male,402,217,53.98,27
6,LI Ching Wan (HKG),Female,421,217,51.54,30
7,GORAK Daniel (POL),Male,395,216,54.68,41
8,KUZMIN Fedor (AIN),Male,389,216,55.53,41
9,GONZALEZ Daniel (PUR),Male,454,216,47.58,31
10,OUAICHE Stephane (ALG),Male,317,216,68.14,31
11,WEERASINGHE Helshan (ENG),Male,357,216,60.50,28
12,SUNG Rachel (USA),Female,309,216,69.90,20
13,DE STOPPELEIRE Clea (FRA),Female,337,216,64.09,19
14,LASHIN Elsayed (EGY),Male,319,215,67.40,45
15,PERGEL Szandra (HUN),Female,396,215,54.29,36
16,KWAN Man Ho (HKG),Male,423,215,50.83,27
17,AHLANDER-J Carl (SWE),Male,328,215,65.55,29
18,PAREDES Nathaly (ECU),Female,395,215,54.43,24
19,KOHATSU Massao (BRA),Male,318,215,67.61,28
20,MARTINKO Tomas (CZE),Male,391,215,54.99,22
21,MUSKANTOR Rebecca (SWE),Female,374,215,57.49,22
22,MALOV Alexander (ESP),Male,296,215,72.64,12
23,KOU Lei (UKR),Male,359,214,59.61,37
24,DAHER Juan (ARG),Male,345,214,62.03,31
0,KAYAMA Yu (JPN),Male,298,214,71.81,23
1,DEGROS Nicolas (BEL),Male,391,214,54.73,22
2,OJIO Yuna (JPN),Female,258,214,82.95,16
3,KODET Hanka (CZE),Female,309,214,69.26,15
4,ELBEIALI Mohamed (EGY),Male,346,213,61.56,36
5,PETO Zsolt (SRB),Male,391,213,54.48,37
6,SAIVE Jean-Michel (BEL),Male,360,213,59.17,55
7,STEFANOVA Nikoleta (ITA),Female,361,213,59.00,40
8,FARAJI Benyamin (IRI),Male,275,213,77.45,15
9,COTON Flavien (FRA),Male,296,213,71.96,16
10,BARTHEL Zhenqi (GER),Female,353,212,60.06,38
11,WANG Yang (SVK),Male,350,212,60.57,30
12,PARANANG Orawan (THA),Female,371,212,57.14,27
13,CATHCART Owen (IRL),Male,341,212,62.17,22
14,TOMINJAK Radmila (SRB),Female,349,212,60.74,22
15,CHIU Chung Hei (HKG),Male,317,211,66.56,31
16,WANG Nan (CHN),Female,258,211,81.78,46
17,WABIK Sandra (POL),Female,355,211,59.44,29
18,LOYEN Eline (BEL),Female,380,211,55.53,26
19,FRIIS Martin (SWE),Male,372,211,56.72,22
20,LAM Nathan (FRA),Male,291,211,72.51,17
21,POLAKOVA Veronika (CZE),Female,336,211,62.80,16
22,ITAGAKI Koharu (GER),Female,283,211,74.56,15
23,LIVENTSOV Alexey (AIN),Male,358,210,58.66,43
24,SHETTY Sanil (IND),Male,392,210,53.57,35
0,GAUZY Paul (FRA),Male,326,210,64.42,29
1,RUIZ Romain (FRA),Male,326,210,64.42,28
2,TAKEUCHI Kana (JPN),Female,290,210,72.41,25
3,WU Jiaduo (GER),Female,354,209,59.04,47
4,MIKUTIS Tomas (LTU),Male,344,209,60.76,32
5,LIU Victor (USA),Male,319,209,65.52,23
6,SOMMEROVA Helena (CZE),Female,363,208,57.30,19
7,FLORAS Robert (POL),Male,330,207,62.73,32
8,ZHOU Yihan (SGP),Female,317,207,65.30,31
9,SPANIK Tibor (SVK),Male,427,207,48.48,25
10,GUISNEL Oceane (FRA),Female,363,207,57.02,26
11,OH Junsung (KOR),Male,278,207,74.46,18
12,GHORPADE Yashaswini (IND),Female,294,207,70.41,20
13,HUANG Sheng-Sheng (TPE),Male,338,206,60.95,37
14,MATSUDAIRA Kenji (JPN),Male,309,206,66.67,35
15,YADAV Abhishek (IND),Male,374,206,55.08,28
16,DEGRAEF Margo (BEL),Female,461,206,44.69,26
17,PINTO Matilde (POR),Female,363,206,56.75,18
18,HUNG Jing-Kai (TPE),Male,258,206,79.84,17
19,DIDUKH Oleksandr (UKR),Male,340,205,60.29,43
20,YU Fu (POR),Female,316,205,64.87,46
21,SMIRNOV Alexey (AIN),Male,363,205,56.47,47
22,PEREIRA Andy (CUB),Male,295,204,69.15,35
23,MOLERO Candela (ARG),Female,394,204,51.78,27
24,HRIBAR Peter (SLO),Male,481,204,42.41,25
0,ZHU Chengzhu (HKG),Female,342,204,59.65,28
1,HUANG Yan-Cheng (TPE),Male,354,204,57.63,22
2,ZIRONOVA Ekaterina (AIN),Female,296,204,68.92,23
3,BIRRIEL Oscar (PUR),Male,343,204,59.48,19
4,LI Qiangbing (AUT),Female,354,203,57.34,39
5,SIBLEY Kelly (ENG),Female,362,203,56.08,36
6,TANG Peng (HKG),Male,348,203,58.33,44
7,RASMUSSEN Tobias (DEN),Male,408,203,49.75,28
8,TANAKA Yuta (JPN),Male,300,203,67.67,24
9,CASTRO Rogelio (MEX),Male,313,203,64.86,20
10,OJIO Haruna (JPN),Female,263,203,77.19,19
11,KUO Guan-Hong (TPE),Male,249,203,81.53,16
12,MATTENET Adrien (FRA),Male,351,202,57.55,37
13,KIRICHENKO Anna (FIN),Female,468,202,43.16,27
14,ISHIKAWA Rira (JPN),Female,299,202,67.56,27
15,OGATA Ryotaro (JPN),Male,325,202,62.15,26
16,YOKOTA Gustavo (BRA),Male,274,202,73.72,27
17,ZALEWSKI Mateusz (POL),Male,326,202,61.96,19
18,LIN Shidong (CHN),Male,244,202,82.79,19
19,HADZIAHMETOVIC Emina (BIH),Female,345,201,58.26,29
20,YIU Kwan To (HKG),Male,328,201,61.28,20
21,PETEK Borna (CRO),Male,370,201,54.32,19
22,LEE I-Chen (TPE),Female,370,200,54.05,37
23,UEDA Jin (JPN),Male,293,200,68.26,33
24,VALUCH Alexander (SVK),Male,430,200,46.51,28
0,DILLING Andreas (DEN),Male,344,200,58.14,26
1,CECHOVA Katerina (CZE),Female,354,200,56.50,26
2,KAWAKAMI Ryuusei (JPN),Male,260,200,76.92,15
3,PASKAUSKIENE Ruta (LTU),Female,301,199,66.11,48
4,HIRICI Cristina (ROU),Female,330,199,60.30,32
5,ALTINKAYA Sibel (TUR),Female,398,199,50.00,32
6,WANG Crystal (USA),Female,312,199,63.78,23
7,BOTH Oliver (HUN),Male,387,199,51.42,22
8,COK Isa (FRA),Female,349,199,57.02,22
9,KUZMINA Elena (AIN),Female,333,198,59.46,36
10,MACHI Asuka (JPN),Male,288,198,68.75,30
11,VAHNISH Jacobo (PAN),Male,300,198,66.00,22
12,CHOI Hyojoo (KOR),Female,310,198,63.87,26
13,WU Jia-En (TPE),Female,249,198,79.52,16
14,TOMANOVSKA Katerina (CZE),Female,403,197,48.88,29
15,YOON Hyobin (KOR),Female,295,197,66.78,26
16,ZHOU Qihao (CHN),Male,248,197,79.44,28
17,CAMARA Gabrielius (NED),Male,316,197,62.34,19
18,LEE Jungmok (KOR),Male,278,196,70.50,17
19,KOJIC Frane (CRO),Male,358,195,54.47,33
20,SEREDA Peter (SVK),Male,331,195,58.91,41
21,YARUSHIN Nikita (AIN),Male,349,195,55.87,26
22,GHOSH Swastika (IND),Female,332,195,58.73,21
23,ERKEBAEVA Asel (UZB),Female,296,195,65.88,15
24,KOLAREK Tomislav (CRO),Male,330,194,58.79,36
0,KUMARESAN Shamini (IND),Female,342,194,56.73,37
1,WANG Zengyi (POL),Male,322,194,60.25,41
2,TANIOKA Ayuka (JPN),Female,279,194,69.53,30
3,BEDAIR Omar (EGY),Male,285,194,68.07,30
4,GUI Lin (BRA),Female,314,194,61.78,31
5,KLEIN Dennis (GER),Male,314,194,61.78,27
6,DESCHAMPS Hugo (FRA),Male,280,194,69.29,20
7,NG Ka Yee (HKG),Female,288,193,67.01,30
8,ASCHWANDEN Rahel (SUI),Female,414,193,46.62,31
9,JHA Prachi (USA),Female,315,193,61.27,28
10,MARCHETTI Nathalie (BEL),Female,443,193,43.57,28
11,MUKHERJEE Sutirtha (IND),Female,316,193,61.08,29
12,IZUMO Takuto (JPN),Male,274,193,70.44,25
13,JUHASZ Patrik (HUN),Male,364,193,53.02,23
14,TOKIC Sara (SLO),Female,364,193,53.02,18
15,LEAL Julia (POR),Female,317,193,60.88,16
16,ZYWORONEK Patryk (POL),Male,293,193,65.87,16
17,GONDERINGER Tessy (LUX),Female,397,192,48.36,31
18,LEE Jinkwon (KOR),Male,285,192,67.37,37
19,VLASOV Grigory (AIN),Male,318,192,60.38,40
20,MORI Angela (PER),Female,367,192,52.32,31
21,IWASA Agustina (ARG),Female,392,192,48.98,31
22,KAIZOJI Camila (ARG),Female,408,192,47.06,25
23,SINGEORZAN Arina (ROU),Female,326,192,58.90,27
24,GUNDUZ Ibrahim (TUR),Male,385,192,49.87,27
0,WU Yang (CHN),Female,237,191,80.59,33
1,KLAJBER Adam (SVK),Male,383,191,49.87,21
2,MASSART Lilou (BEL),Female,308,191,62.01,17
3,AKAE Kaho (JPN),Female,245,191,77.96,20
4,CHEN Qi (CHN),Male,252,190,75.40,40
5,EDEM Offiong (NGR),Female,321,190,59.19,38
6,BILENKO Tetyana (UKR),Female,357,190,53.22,41
7,JURKOVA Eva (SVK),Female,423,190,44.92,30
8,PARK Ganghyeon (KOR),Male,287,190,66.20,28
9,VERMAAS Kim (NED),Female,373,190,50.94,29
10,PATSEYEVA Hanna (AIN),Female,355,190,53.52,27
11,LORENZO Santiago (ARG),Male,330,190,57.58,23
12,EARLEY Sophie (ENG),Female,309,190,61.49,18
13,BURGOS Brianna (PUR),Female,347,190,54.76,19
14,QIU Liang (GER),Male,320,189,59.06,30
15,RADOVIC Filip (MNE),Male,359,189,52.65,24
16,WOLF Jennie (GER),Female,320,189,59.06,25
17,LAI Chi-Chien (TPE),Male,301,189,62.79,26
18,LY Edward (CAN),Male,379,189,49.87,22
19,TURRINI Rafael (BRA),Male,300,189,63.00,23
20,LEBRUN Alexis (FRA),Male,282,189,67.02,21
21,MOYLAND Sally (USA),Female,247,189,76.52,17
22,LEE Hoyun (KOR),Male,253,189,74.70,18
23,GUO ZHENG Nina (FRA),Female,259,189,72.97,14
24,JEVTOVIC Marko (SRB),Male,350,188,53.71,38
0,LE BRETON Thomas (FRA),Male,300,188,62.67,32
1,SHEN Yanfei (ESP),Female,282,188,66.67,45
2,RODRIGUEZ Diego (PER),Male,325,188,57.85,29
3,GIVONE Nolan (FRA),Male,286,188,65.73,26
4,NIELSEN Claus (DEN),Male,367,188,51.23,28
5,HE Zhuojia (CHN),Female,237,188,79.32,26
6,HARASZTOVICH Fanni (HUN),Female,349,188,53.87,24
7,LEE Yu-Peng (TPE),Female,305,188,61.64,25
8,NG Wing Lam (HKG),Female,315,188,59.68,21
9,RYZHOV Sergey (AIN),Male,280,188,67.14,19
10,URSUT Horia Stefan (ROU),Male,288,188,65.28,18
11,ULLMANN Lleyton (GER),Male,324,188,58.02,18
12,MOURIER Flavio (FRA),Male,264,188,71.21,18
13,HAPONOVA Hanna (UKR),Female,354,187,52.82,39
14,VOSTES Yannick (BEL),Male,360,187,51.94,39
15,KUIMOV Philipp (AIN),Male,301,187,62.13,30
16,TRUKSOVA Lucia (SVK),Female,418,187,44.74,29
17,MAKSUTI Aneta (SRB),Female,294,187,63.61,29
18,BERGAND Filippa (SWE),Female,392,187,47.70,26
19,XUE Fei (CHN),Male,244,187,76.64,26
20,BHOWMICK Divyanshi (IND),Female,226,187,82.74,14
21,ZIBRAT Jan (SLO),Male,329,186,56.53,32
22,UDRA Alfredas (LTU),Male,359,186,51.81,31
23,TEPLITZKY Diego (ARG),Male,283,186,65.72,29
24,MUKHERJEE Ayhika (IND),Female,316,186,58.86,27
0,AVAMERI Airi (EST),Female,292,186,63.70,27
1,WIELGOS Zuzanna (POL),Female,300,186,62.00,19
2,ZENG Beixun (CHN),Male,233,186,79.83,21
3,BENKO Leon (CRO),Male,334,186,55.69,18
4,MA Yeongmin (KOR),Male,269,186,69.14,13
5,HENZELL William (AUS),Male,263,185,70.34,43
6,DRINKHALL Joanna (ENG),Female,330,185,56.06,37
7,KRAFT Theresa (GER),Female,288,185,64.24,29
8,YIGENLER Abdullah (TUR),Male,373,185,49.60,25
9,CHOI Seoyeon (KOR),Female,277,185,66.79,16
10,GRZYBOWSKA-FRANC Katarzyna (POL),Female,361,184,50.97,35
11,LOVAS Petra (HUN),Female,325,184,56.62,44
12,SUSS Christian (GER),Male,286,184,64.34,39
13,HIGASHI Yuto (JPN),Male,270,184,68.15,29
14,CHODRI Kunal (USA),Male,309,184,59.55,25
15,TREVISAN Francesco (ITA),Male,279,184,65.95,15
16,RUMGAY Gavin (SCO),Male,318,183,57.55,40
17,VILLA Ricardo (MEX),Male,294,183,62.24,26
18,KAO Cheng-Jui (TPE),Male,283,183,64.66,20
19,MATOS Ines (POR),Female,346,183,52.89,20
20,WILTSCHKOVA Dominika (SVK),Female,398,183,45.98,19
21,QIN Yuxuan (CHN),Female,223,183,82.06,18
22,DUBKOVA Elena (AIN),Female,319,182,57.05,33
23,MA Liang (SGP),Male,330,182,55.15,33
24,TROMER Laurens (NED),Male,354,182,51.41,29
0,MATSUDAIRA Shiho (JPN),Female,294,182,61.90,29
1,MLADENOVIC Luka (LUX),Male,405,182,44.94,26
2,MIRKADIROVA Sarvinoz (KAZ),Female,363,182,50.14,20
3,CHAN Baldwin (HKG),Male,297,181,60.94,20
4,BERGENBLOCK William (SWE),Male,285,181,63.51,17
5,LI Jen-Yueh (TPE),Female,214,181,84.58,12
6,LI Hechen (CHN),Male,221,181,81.90,16
7,FINS Rita (POR),Female,338,180,53.25,27
8,ZHENG Dorian (FRA),Male,253,180,71.15,23
9,TAKAMORI Mao (JPN),Female,227,180,79.30,16
10,FEHER Gabriela (SRB),Female,289,179,61.94,36
11,STRBIKOVA Renata (CZE),Female,321,179,55.76,45
12,TOTH Krisztina (HUN),Female,301,179,59.47,50
13,YIANGOU Marios (CYP),Male,281,179,63.70,33
14,KALUZNY Samuel (SVK),Male,429,179,41.72,27
15,ARIAS Emme (ESA),Female,341,179,52.49,27
16,KIM Jiho (KOR),Female,260,179,68.85,25
17,GARCIA Ana (ESP),Female,331,179,54.08,24
18,BADAWY Farida (EGY),Female,270,179,66.30,20
19,GREEN Connor (ENG),Male,284,179,63.03,18
20,MENDE Rin (JPN),Female,217,179,82.49,17
21,NOIRAULT Antoine (FRA),Male,257,179,69.65,17
22,LEE Eunhee (KOR),Female,280,178,63.57,39
23,LOW Katherine (CHI),Female,343,178,51.90,30
24,BAJGER Ondrej (CZE),Male,322,178,55.28,31
0,SUN Chia-Hung (TPE),Male,325,178,54.77,28
1,GOI Rui Xuan (SGP),Female,355,178,50.14,24
2,RIOS Valentina (CHI),Female,264,178,67.42,22
3,BONDAREVA Anastasia (GER),Female,314,178,56.69,22
4,PARK Miyoung (KOR),Female,274,177,64.60,43
5,SEO Hyundeok (KOR),Male,274,177,64.60,33
6,GOMMERS Rajko (NED),Male,323,177,54.80,29
7,MARTINEZ Livan (CUB),Male,254,177,69.69,27
8,ZELINKA Jakub (SVK),Male,364,177,48.63,25
9,BEN ATTIA Youssef (TUN),Male,308,177,57.47,22
10,VELICHKOV Yoan (BUL),Male,257,177,68.87,17
11,AMBRUS Krisztina (HUN),Female,297,176,59.26,32
12,TAPIA Rodrigo (ECU),Male,335,176,52.54,30
13,LEMMER Alena (GER),Female,271,176,64.94,27
14,STRAZAR Katarina (SLO),Female,340,176,51.76,23
15,MEISSNER Cedric (GER),Male,304,176,57.89,24
16,PRANJKOVIC Naomi (GER),Female,291,176,60.48,20
17,AMORIM Vitor (POR),Male,305,175,57.38,25
18,BADOWSKI Marek (POL),Male,316,175,55.38,27
19,ALHODABY Mariam (EGY),Female,256,175,68.36,24
20,DARI Helga (HUN),Female,343,175,51.02,22
21,ISTRATE Robert (ROU),Male,260,175,67.31,15
22,SKALDA Jan (CZE),Male,276,175,63.41,16
23,INDEHERBERG Julien (BEL),Male,340,174,51.18,32
24,HOLLO Mike (HUN),Male,264,174,65.91,21
0,HUANG Youzheng (CHN),Male,213,174,81.69,19
1,LOY Ming Ying (SGP),Female,239,174,72.80,14
2,KUCHUK Maryia (AIN),Female,372,173,46.51,30
3,LESIV Rimas (LTU),Male,337,173,51.34,26
4,CHAICHI Abdelbasset (ALG),Male,336,173,51.49,23
5,BRATEYKO Solomiya (UKR),Female,334,173,51.80,26
6,KOTECHA Taneesha (IND),Female,258,173,67.05,19
7,VARGHESE Jennifer (IND),Female,249,173,69.48,16
8,BUROV Viacheslav (AIN),Male,278,172,61.87,40
9,SILVA Ligia (BRA),Female,269,172,63.94,44
10,TABACHNIK Pablo (ARG),Male,310,172,55.48,47
11,DOLGIKH Maria (AIN),Female,285,172,60.35,37
12,MYNAROVA Karolina (CZE),Female,334,172,51.50,28
13,CHAPLYGIN Maxim (AIN),Male,248,172,69.35,26
14,XU Jannik (GER),Male,272,172,63.24,24
15,DELINCAK Filip (SVK),Male,349,172,49.28,21
16,XU Haidong (CHN),Male,221,172,77.83,24
17,KAMALOVA Arujan (UZB),Female,288,172,59.72,15
18,SUN Beibei (SGP),Female,274,171,62.41,41
19,WANG Eugene (CAN),Male,233,171,73.39,39
20,GU Yuting (CHN),Female,211,171,81.04,30
21,ABDULWAHHAB Mohammed (QAT),Male,289,171,59.17,25
22,SABHI Myshaal (TUN),Male,239,171,71.55,21
23,WATANABE Laura (BRA),Female,259,171,66.02,21
24,PRADHIVADHI Abhinandh (IND),Male,233,171,73.39,17
0,ANDERSSON Harald (SWE),Male,271,170,62.73,33
1,KULPA Konrad (POL),Male,308,170,55.19,30
2,AL-NAGGAR Abdulrahman (QAT),Male,305,170,55.74,27
3,YILMAZ Ozge (TUR),Female,358,170,47.49,22
4,TSAI Yun-En (TPE),Female,235,170,72.34,20
5,PORET Thibault (FRA),Male,270,170,62.96,20
6,SIP Martin (CZE),Male,298,170,57.05,19
7,PANG Xue Jie (SGP),Male,347,169,48.70,32
8,MOYA Manuel (CHI),Male,302,169,55.96,31
9,MOLNAR Istvan (HUN),Male,304,169,55.59,26
10,BOURASS Aboubaker (TUN),Male,278,169,60.79,24
11,SELVAKUMAR Selena (IND),Female,329,169,51.37,25
12,MASSART Alessi (BEL),Male,287,169,58.89,19
13,NARESH Nandan (USA),Male,258,169,65.50,18
14,PARK Gahyeon (KOR),Female,222,169,76.13,17
15,PROKHOROVA Yulia (AIN),Female,301,168,55.81,37
16,FLORITZ Philipp (BUL),Male,284,168,59.15,33
17,SCHREINER Florian (GER),Male,263,168,63.88,29
18,WEN Ruei-Ling (TPE),Female,279,168,60.22,24
19,VOVK Aleksandra (SLO),Female,349,168,48.14,24
20,LI Yu-Jhun (TPE),Female,284,168,59.15,27
21,WONG Hoi Tung (HKG),Female,267,168,62.92,19
22,LEE Daeun (KOR),Female,229,168,73.36,20
23,MAK Ming Shum (HKG),Female,242,168,69.42,16
24,SANTOS Emil (DOM),Male,310,167,53.87,34
0,YAMADA Jessica (BRA),Female,323,167,51.70,35
1,VLACUSKA Patrik (SVK),Male,282,167,59.22,29
2,KOTOWSKI Tomasz (POL),Male,290,167,57.59,26
3,PUCHOVANOVA Nikoleta (SVK),Female,377,167,44.30,24
4,LEE Eunhye (KOR),Female,263,167,63.50,29
5,BEH Kun Ting (SGP),Male,296,167,56.42,23
6,CHAU Wing Sze (HKG),Female,286,167,58.39,23
7,STERNER Anastasia (AUT),Female,279,167,59.86,20
8,BURGIS Matiss (LAT),Male,249,166,66.67,35
9,COSTA Jorge (POR),Male,297,166,55.89,29
10,TOLIOU Aikaterini (GRE),Female,292,166,56.85,29
11,LI Ahmet (TUR),Male,267,166,62.17,34
12,GALVEZ Eunice (ECU),Female,306,166,54.25,26
13,SODERLUND Simon (SWE),Male,291,166,57.04,25
14,ABDELWAHAB Marwan (EGY),Male,247,166,67.21,24
15,RUKLETSOV Vladislav (AIN),Male,324,166,51.23,23
16,MAKAROV Vladislav (AIN),Male,248,166,66.94,20
17,COSIC Dora (CRO),Female,328,166,50.61,19
18,CABRERA Rafael (DOM),Male,302,166,54.97,18
19,LIU Ru-Yun (TPE),Female,248,166,66.94,18
20,PUJOL Elise (FRA),Female,268,166,61.94,17
21,PFEFFER Simon (AUT),Male,343,165,48.10,30
22,FAN Siqi (CHN),Female,203,165,81.28,27
23,LIU Gaoyang (CHN),Female,190,165,86.84,28
24,DONADO Josue (ESA),Male,238,164,68.91,35
0,KNIGHT Darius (ENG),Male,309,164,53.07,35
1,SZCZERKOWSKA Magdalena (POL),Female,273,164,60.07,32
2,GROFOVA Karin (CZE),Female,305,164,53.77,30
3,LIU Dingshuo (CHN),Male,200,164,82.00,27
4,BEZEG Reka (SRB),Female,313,164,52.40,22
5,YOKOI Sakura (JPN),Female,204,164,80.39,20
6,BERTELSMEIER Andre (GER),Male,228,164,71.93,19
7,MICHELY Gilles (LUX),Male,353,163,46.18,36
8,VOROBEVA Olga (AIN),Female,287,163,56.79,34
9,TSUI Pao-Wen (TPE),Female,294,163,55.44,30
10,PAVOLKA Michal (SVK),Male,293,163,55.63,29
11,PICCOLIN Jordy (ITA),Male,333,163,48.95,27
12,KAKITSUKA Masato (JPN),Male,281,163,58.01,27
13,PEKO Stefan (SVK),Male,297,163,54.88,24
14,MALININA Natalia (AIN),Female,236,163,69.07,23
15,SLAUTINA Arina (AIN),Female,240,163,67.92,21
16,VORONINA Vlada (AIN),Female,219,163,74.43,20
17,SENAGA Karina (BRA),Female,280,163,58.21,17
18,BLED Gaetane (FRA),Female,243,163,67.08,17
19,MAZE Michael (DEN),Male,270,162,60.00,43
20,PRYSHCHEPA Ievgen (UKR),Male,323,162,50.15,39
21,PRIVALOVA Alexandra (AIN),Female,334,162,48.50,37
22,MAGDY Shady (EGY),Male,252,162,64.29,29
23,GUPTA Utkarsh (IND),Male,298,162,54.36,28
24,ANDRADE Raquel (POR),Female,363,162,44.63,26
0,VIGNJEVIC Dragana (SRB),Female,301,162,53.82,25
1,OSHIMA Yuya (JPN),Male,236,162,68.64,31
2,MARTINS Raquel (POR),Female,324,162,50.00,23
3,MATHAN Hansini (IND),Female,229,162,70.74,15
4,BHATTACHARJEE Ankur (IND),Male,208,162,77.88,18
5,TAUBER Michael (ISR),Male,334,161,48.20,31
6,SEIBERT Jakub (CZE),Male,297,161,54.21,30
7,SIMON Mathan (ISR),Male,334,161,48.20,26
8,HUANG Yu-Chiao (TPE),Female,281,161,57.30,29
9,HWANG Minha (KOR),Male,221,161,72.85,26
10,KALAITZIDOU Eireen (GER),Female,292,161,55.14,17
11,SKERBINZ Nina (AUT),Female,267,161,60.30,15
12,TORIOLA Segun (NGR),Male,248,160,64.52,50
13,KIM Nayeong (KOR),Female,265,160,60.38,19
14,SONE Kakeru (JPN),Male,209,160,76.56,22
15,LIU Zhenlong (AUT),Male,245,160,65.31,19
16,BOBILLIER Loic (FRA),Male,294,159,54.08,39
17,STUCKYTE Egle (LTU),Female,289,159,55.02,34
18,WAKAMIYA Misako (JPN),Female,263,159,60.46,35
19,JEONG Sangeun (KOR),Male,253,159,62.85,34
